Title,rvwaut__infver,catxtcpt,rvwbd,rvwfoot__helpfulcount,rvwfoot__helpfulcount1,Image_URL
"Jason of Leawood, KS","
                    Verified Reviewer
                ","Original review: April 21, 2017","This ""company"" never responds to Emails or complaints... even wrote to the CEO (travis@uber.com) and no response. The app sends error messages with a link that goes to a page that says ""Sorry, we couldnt find that page"". Unfortunately Lyft does not operate in Kansas City, Missouri... so we are SOL.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"NGUYEN of Hanoi, Other","
                    Verified Reviewer
                ","Original review: April 21, 2017","Uber should review how to serve his customers. To delete my Uber account, it takes me 2 days and more than 10 messages-conversation with Uber Help Staffs (please review the history of messages)! It make customers like me scare and bore Uber! Let customers delete their own account as easy as creating an account! They also have no official notice by email to me about deleting my account and credit card informations.","2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Lisa of Gibsonton, FL","
                    Verified Reviewer
                ","Original review: April 21, 2017","I have to have my vehicle inspected, no problem there. There was an option that I could do it via video chat, so I did. Through the Uber inspection page/site. Well they have no clue what I am talking about and that I have to upload documents that I was not given. I was told via video chat that Uber would get the inspection right away, 2 weeks later and still they do not have anything. I have tried to get a hold a person to verbally talk with and nothing. Just emailing and then there are more than one person trying to help and then it get aggravating. I think they have the worst service as far as helping the drivers. I am about to no longer drive for them because this is just getting out of hand. If you want to have great drivers give them better service when it comes to helping them.","2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Michael of Hallandale Beach, FL","
                    Verified Reviewer
                ","Original review: April 20, 2017","Driver never picked me up and I was charged a cancellation fee. He never arrived. I was waiting outside. He never found my home address. I contacted Uber and this was their reply: ""Thank you for getting in touch. We've reviewed this POOL trip and can confirm that you were charged a cancellation fee appropriately.""","7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Mansour of Los Angeles, CA","
                    Verified Reviewer
                ","Original review: April 20, 2017","Let's be honest, who would mind paying couple $$ for a ride and relax in the back set listening to music and not dealing with traffic, especially here in LA. But Uber won't let you enjoy this convenience as much especially recently when they changed some of their policies. Here is an example, it is late at night, you just had fun in your friend's house and it is time to request Uber to take you home. You request Uber. Wait outside for the driver. In this phase, ETA become slow. 8 minutes waiting.","2 people found this review helpful
            
        ",2 people,Rated with 3 stars
"Heidi of New York, NY","
                    Verified Reviewer
                ","Original review: April 20, 2017","I have been using Uber for many years (especially as a consultant, I used them weekly for my work travel to/from airports) but was disgusted with the way the company treated me as a customer. On 4/13, I requested a pickup from LGA, Terminal C, Pickup area 1. I attempted to call the driver 5 times to let him know my exact location at Terminal C pickup area but got his voicemail each time. I waited over 15 mins just to see him drive past the requested pickup area and continue to drive through all of Terminal C (as I was trying to chase him down) without slowing down or attempting to pull into any of the subsequent pickup areas to look for me. ","8 people found this review helpful
            
        ",8 people,Rated with 1 star
"L. of Washington, DC","
                    Verified Reviewer
                ","Original review: April 18, 2017","Be alert for selecting UberPool for a reduced fare but being charged UberX or Economy at double the fare. When attempting to resolve, the company will state things such as 'we've adjusted a fare in the past for you' coupled with 'your fare is correct,' finally with a conclusion of 'your driver selected the trip in good faith.' I have been an Uber passenger on many occasions and never had a fare adjusted. My fare was absolutely incorrect and my driver selecting my trip is great, however, I wish to not pay a much higher fare for a type of ride I did not select. Uber leaves their customers with no additional help or recourse but to dispute charges with their credit card company.","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Saradha of East Tambaram, Other",,"Original review: April 18, 2017",I took an UberGo taxi today morning from my home (Tambaram) to my office MRC Nagar. I saw the payment estimate to be around 304-350 but I was charged 484. Added today is my first Uber ride. I also struggled with making payment via my card. I dont have payment wallet option so I have previously added my card details to the payment option. But the payment gateway through my card was not enabled. Need proper explanations from authorities.,"2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Cheryl of Tampa, FL","
                    Verified Buyer
                ","Original review: April 18, 2017","On 4-17-17 I signed up as a new to Uber customer. I tried to schedule a ride for the following day, but not knowing how Uber worked I inadvertently requested an Uber driver for the wrong day. When the driver profile popped up I called him and told him that I had inadvertently order the Uber ride for the wrong day, he said (the driver's name was Javier) he would cancel the ride for me. I trusted that the ride was cancelled, but to my surprise another driver was on his way to my home (David), I immediately cancelled this driver and suddenly was confronted with a popup saying I was being charged a cancellation fee of $5.00. I never ordered a second driver, so I do not know how another driver could be sent.","8 people found this review helpful
            
        ",8 people,Rated with 1 star
"Carol of Brooklyn, NY",,"Original review: April 14, 2017","Uber driver and the people that work in the office is very unprofessional. They do not pick you up in front to your door, the drivers are always canceling and you're stuck with the driver's cancellation fee which is unfair. The only communication you have to complain is thru email which is stupid. It should be a phone number for you to dial and speak to someone.","16 people found this review helpful
            
        ",16 people,Rated with 1 star
"don of Brea, CA",,"Original review: April 14, 2017","Concept of Uber is great. Try finding customer service is the pits. Once you contact them via messaging you will find that if you have an ongoing conversation, replies their system is set up to tag next available service rep. Meaning every time you send in your reply, a new service rep has to review all the conversations to get the rest of the customer’s problem. Extremely time consuming on both parts. My wife is presently texting them as I write. I'm not a patient man and have spent two three days going back and forth on a relatively simple question. ""How do I add my payment method to my account"". Simple right? What a BS management team they have. It usually lies on management too.","2 people found this review helpful
            
        ",2 people,Rated with 3 stars
"Steven of Reston, VA","
                    Verified Reviewer
                ","Original review: April 13, 2017","On the evening of March 25, 2017, I scheduled an early morning ride with Uber for March 26 to Dulles airport. A few minutes after our requested pickup, the driver called and said he was on his way. We noticed on the Uber app that his vehicle was at Dulles and was not moving towards our location. The driver subsequently called and cancelled the pickup. Since we did not have sufficient time to make alternate arrangements, we drove our own vehicle to the airport and paid $272 for two weeks of parking. We noticed that the Uber vehicle remained in the same position in the Dulles area while we were in route to the airport. Up to this experience, we have been pleased with the Uber service, however, we will not rely on Uber again when we need to be somewhere at a certain time.","7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Bettini of Wheaton, IL",,"Original review: April 12, 2017","I'm not sure anything is in place to go after this deceptive ""company"". I can't even call this a company. It's nothing, it's an app. The charging practices have to be illegal. They come up with their own rules and prey on anyone using this ""app"". I see them losing out on their ""app"" and lawsuits will start piling up. Everyone thought the concept was good, I'm seeing the loopholes and Uber needs to go.","13 people found this review helpful
            
        ",13 people,Rated with 1 star
"Isabelle of Potomac, MD","
                    Verified Reviewer
                ","Original review: April 12, 2017","March 11, 2017 2:30 PM realize that the students I drive to Washington DC Stadium to see a concert for St Patrick Day... Did pee inside water bottle, and pee on the floor. Disgusting. Next damaged and scary one people, I was driving on April 02, 2017, cut with razors my leather seat and damaged also with cut the back seat. My Suburban car is new 2016, I work hard for to pay and Uber told me they will reimburse me if I send the estimation not later than 5 days. I did in 2 days, now a stupid guy in India or Philippines, who do not know what he is talking about say, something about and try to argue for something who was already agree. I can't wait to get customer service for drivers in USA!!! Drivers be aware please.","8 people found this review helpful
            
        ",8 people,Rated with 1 star
"shahryar of College Point, NY",,"Original review: April 12, 2017","I did one trip last month with Uber. But still I didn't get paid for it. I contacted with them. They all are liar. The day I did the trip same day I e-mail to them. They said “you will see in your partner dashboard.” But didn't show up. Then I e-mail again. They said 48 hours. After 48 hours I e-mail again. Now they are asking for information again. I said “how many times I've to give you information.” Then they ask for trip no. I said “the day I did the job from that time it's totally vanished so how I'm gonna give you trip no. Only I can give you passenger name, approximate time, pick up address and destination” and I gave it to them. Then they said again 48 hours.","8 people found this review helpful
            
        ",8 people,Rated with 5 stars
"J. of Tampa, FL","
                    Verified Reviewer
                ","Original review: April 8, 2017","Just recently signed up. First time was good $10. Second time same route from work $25. I contacted they gave a refund. For the next Five rides to and from work no problem. On the sixth ride I got to location which was very short. Requested a ride. On walking out the door, I notice driver was still there, he told me cancel and Re-request and he'll get it, but while I tried to do that I got a message saying disabled account. And keep getting the run around with having sufficient credit balance in Uber gift credit and now I don't have a ride.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Sebrina of Rocky Mount, NC","
                    Verified Reviewer
                ","Original review: April 7, 2017",Visited Orlando Florida and used Uber twice to return from Universal Studio. The first day I was charged 15.88 and the second trip cost 9.34. When I questioned the first driver about the route we were taking he advised he missed his exit causing him to take the next exit which was completely out of the way. The second driver took the direct route with no problem. When I questioned Uber customer service they explained how algorithms work and found no fault with the fare. I received my receipt and noticed the total should have been 12.84. They did refund the $3 difference but refused to acknowledge the difference in price between the first and second driver even though it was entirely driver error. After researching this seem to be a somewhat common practice. Will use Lyft in the future.,"6 people found this review helpful
            
        ",6 people,Rated with 1 star
"J of Las Vegas, NV","
                    Verified Reviewer
                ","Original review: April 7, 2017","I used Uber regularly as well as UberEATS. I loved the convenience! Once... Today I had a meeting across town. When it was over I requested an Uber pool for the cheap price and I had two hours before my next appointment. I'm thinking, ""shouldn't take more than an hour"". I was WRONG! The driver that picked my ride drove past me a minimum of 3x. I saw this on the little gps the app provides. The driver eventually started heading to the OTHER side of town! I tried calling twice to make sure he wasn't lost but he forwarded me to his VM both times and never reached out to me. Eventually, he heads away from my location and the ETA becomes even longer. ","9 people found this review helpful
            
        ",9 people,Rated with 1 star
"Steven of Clemson, SC",,"Original review: April 6, 2017","I recently had THREE Uber rides charged to my credit card, charges which my bank originally refused. When I complained to Uber via e-mail, I got a series of potted replies, with them eventually asserting that ""they believed the charges were legitimate."" Only after having the charges reversed with my bank and contacting Uber a fifteenth time did I get the explanation that my credit card details must have been acquired OUTSIDE Uber and then linked to an Uber account. This is NOT a very convincing explanation. ","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Valerie of Fredericksburg, VA","
                    Verified Reviewer
                ","Original review: April 6, 2017",I have had an ongoing complaint with Uber and it has finally hit the boiling point. I have been taking Uber quite faithfully twice a day for several months now and my pick up and drop off locations have never changed however Uber consistently changes the one address every time. I was OK with that since I was still getting where I needed to be until they started changing the quoted fees as well. When I called them out on it they would say that they had checked and that the information they had was correct. I have emailed them copies of the address plaque on the building where they are picking me up and they are still insisting that I am being picked up at a different address and that it is a longer ride and therefore a higher fare. The address they are insisting is wrong. Is the address for the commuter train station! The really irritating part is that the place that they are insisting I am being picked up at is the building where they house the trains!!,"3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Meandmytwo of Cincinnati, OH","
                    Verified Reviewer
                ","Original review: April 6, 2017",I requested a Uber ride which I never received and was charged. I tried to get another ride in place of that ride and they're trying to charge me again. There is no one to talk to. You have to email to hear something back and no one has contacted me yet. I've heard all these good things about Uber. I will never use the services again.,"11 people found this review helpful
            
        ",11 people,Rated with 1 star
"Jose of Bogota, Other","
                    Verified Reviewer
                ","Original review: April 5, 2017","Cell left in vehicle on April 1st, 2017 while visiting Colombia. Only way to contact UBER asking for help is by the web page. Driver did not answer or UBER did not contact the driver. I left several messages immediately and during the next following days. UBER only answered my messages more than 2 days later. Driver called over 2 days later indicating that the cellular was not there. UBER said ""no more to do"".","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"fatima of Flushing, NY","
                    Verified Reviewer
                ","Original review: April 4, 2017",It has happened to me 2 times in a row that I had scheduled a ride and the drivers never showed up. I travel on regular basis and I schedule a ride a night before to the airport thinking I will be on time because of Uber. I missed my flight 2 times and never got refunded for my plane fare. I sent an email stating my complaint. The first time they never got back to me which was on March 19th 2017 6 in the morning. Same thing happened today. Also I had a flight to catch.,"8 people found this review helpful
            
        ",8 people,Rated with 1 star
"Sam of San Francisco, CA",,"Original review: April 2, 2017","I live in SF and I will NOT use Uber (and Lyft) anymore because of rude driver behavior. I have found too many of the drivers, from those companies, don't follow basic courtesy of at least pulling off the road for a pickup or drop off. And I mean with a curb space a mere 2 feet away. In fact I saw a driver pick up a passenger in the middle of an intersection (granted it was a 3 way intersection). He block the traffic as is so often the case. Both companies need to list to their customer that the driver will stop at the closest parking or off road location. And drivers need to pull OFF the roadway.","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Sima of Fredericton, NB","
                    Verified Reviewer
                ","Original review: April 1, 2017","I used Uber once in a while because 1. they are really expensive. Their app has got problem. 2. I can not contact the driver in any way and every time I try to contact them it directs me to Uber Help which I believe there is nobody there to help. 3. You can never call Uber and talk to somebody, it sounds like to be that the whole thing is software and machine controlled. 4. If you by any chance cancel your ride they will charge you... 5. They are screwing taxi drivers, which are after and better. 6. Where I live they only have UberX which is nonsense and it is more expensive than Uber. They are making tons of money with their stupid application and system therefore I am deleting the app.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Suparna of Bangalore, Other","
                    Verified Reviewer
                ","Original review: March 31, 2017","They deducted total 202 Rs. for very short distance share/pool ride while showed only 54 Rs. while booking the cab. They first deducted 148 Rs. from my Paytm account after the ride completed on 22nd March around 8:30 pm. Then while I complained to customer care, next day they told they adjusted the fare to 54 and rest 148 will be refunded back in 3 days, and again deducted 54 Rs. from Paytm on 23rd March in the morning 7:53 am (I did not take any ride). So total 202 (148+54) Rs. deduction happened. Now after 6 days while I inquired asking about my money they told it was longer route and refund not processed. While I did not take any longer route after asking again and again. Also they only saying money is adjusted and no update about refund. Such a cheat.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Sandy of Montclair, NJ","
                    Verified Buyer
                ","Original review: March 30, 2017","I was in NYC last night Wed 3/29/2017 with a friend. I came in by helicopter and was departing later the same way. I never requested a ride. Nothing on my phone showing I did. But there was 2 missed calls and a voicemail. 1st at 7:37 pm, then 7:39 pm. I called him back and he said he would need to charge me a cancel fee for not showing up. This has to be a scam, as there is no evidence on my phone that I ever requested a ride. I did contact Uber and they said it was a legitimate charge??","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Mukesh of Bangalore, Other","
                    Verified Reviewer
                ","Original review: March 30, 2017","Uber will lose the race to Ola eventually. The negative news they find themself surrounded in will soon bring it down. I did not give much to those negative news until I recently (28th March 2017) witnessed their lack of customer care. The Uber cab was requested to reach Ramaiah Hospital at 3.00 pm. He did, but he refused to pick up my aunt who was on wheelchair. She was released from hospital after full recovery but aged 91, we did not want her to walk. He zoomed away in style. What did that moron expect when a customer calls from a hospital. We called the reliable trustworthy Ola and reached home sound and safe. In the process Uber lost a potential base of at least 50 customers (all my relatives whom we shared this incident with and we decided to stay away from Uber).","7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Richard of Phoenix, AZ","
                    Verified Reviewer
                ","Original review: March 29, 2017","Had difficulty figuring out the app on my Phone and as a result had to cancel the trip as soon as I entered it, the address I had entered for home and the place I was going came up wrong. I did not notice this until I booked the ride. Soon as I realized the error I canceled the trip. I actually had this error several time and canceled my ride. I made several other errors in trying to schedule a future pickup time and had to cancel the ride again. ","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Vivian of New Orleans, LA","
                    Verified Reviewer
                ","Original review: March 29, 2017","A week ago I tried Uber (hotel near LAX). I was told a car would be there in 5 mins but then the driver called and cancelled. A second one did the same and I got a cancellation message. However, I was charged $5. I reported it but all I get was a ""credit."" This has happened before - in NYC. Complained but all I got was a credit which I have never been able to use. In any other business this would be called scam. In future I will use a cab - at least I don't get charged when they are not there.","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Sheila of Nashville, TN","
                    Verified Reviewer
                ","Original review: March 27, 2017","I requested Uber 3/24/17. We were going uptown. I live 10.2 miles from downtown Nashville. My rate was quoted at between $15 and $17. We used Uber there and back. I checked my bank account the next day and to my surprise Uber had charged me $34.50 going to Nashville and $15 coming back. When I inquired about this I was basically given the runaround telling me that I put in a different address than where we went. Once I showed them the Google mileage and the receipt that I printed out from Uber showing that I put in the correct address, now they have changed it to ""It was a demanding night, so the fares went up."" That is really funny because the girl who drove us said it was a slow night. Uber overcharged then tried to lie about it. I will never use Uber again.","9 people found this review helpful
            
        ",9 people,Rated with 1 star
"Kaitlyn of San Jose, CA","
                    Verified Reviewer
                ","Original review: March 27, 2017","I have been using Uber for a couple of years now. I use UberPool at least once a week. I recently requested a ride home from babysitting and was pretty upset when I was charged more than what I agreed to and that they wouldn't honor the initial price. The price I was told was $5.83, but when I got home I saw that it was $11.12. The driver did miss the exit and add more time and distance, so I figured that once I explain this to customer service that they would refund me the difference as this was not my fault. I hope that the driver didn't do this intentionally. They did not, and are standing by what they charged me. I am pretty heated and I am going to start to use Lyft as much as possible even though it is a little more expensive. I am super disappointed with their customer service.","8 people found this review helpful
            
        ",8 people,Rated with 1 star
"Michael of Temecula, CA",,"Original review: March 26, 2017","I woke up one day to find that someone had ordered a ride using my account in Philadelphia while I was asleep in New York. Naturally, I changed my password and sent an email to Uber's support team so that they could look into the issue. They did not look into the issue whatsoever, would not issue a refund, and failed to provide me with a number to call so that I could speak with a representative. Apparently, if someone steals your information from their poorly protected site/app and uses your money to pay for a ride, all Uber cares about is that someone paid for the ride. This will not be the only place I file a complaint.","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Kenneth of St Petersburg, FL",,"Original review: March 26, 2017","I have ridden with Uber 3 times, each time with drivers who are new to America and don't speak English. When I want to make sure I get English speaking driver, I have no way to call UBER. It is just easier to pay local cab a few dollars more for known drivers. I have deleted Uber.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Natalie of West Hollywood, CA","
                    Verified Reviewer
                ","Original review: March 26, 2017","I have had a UBER driver who lingers in front of my apartment window... sometimes with headlights on and shining into my apartment. He lurks out there all hours of day and night. I have called the police and contacted UBER... nothing was done!! UBER response ""We cannot address nonrider complaints."" He drives a white Lexus in LA license **. Complain if you ever get this creepy driver!","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"James of Greer, SC","
                    Verified Reviewer
                ","Original review: March 24, 2017","Requested a pickup in Seattle at 4:25PM on March 23rd and the request was accepted with a 7 minute ETA. I placed the pin exactly where I was standing in a very visible spot on a sidewalk that was easy to access. Watched the driver drive all around me on the Uber app but never coming closer than 3 or 4 blocks. After 30 minutes of this a message popped apologizing for the inconvenience, but the DRIVER cancelled, which now made me late for my dinner reservation. Adding insult to injury, I also saw that they charged me a $5 cancellation fee. I immediately disputed this and after many exchanges where I explained what happened and also pointed out that the driver far exceeded 5 minutes past the 7 minute ETA which entitled ME to cancel per THEIR OWN POLICY, the most they would do is ""promise"" a $5 credit on a future ride.","8 people found this review helpful
            
        ",8 people,Rated with 1 star
"Ralph of Daytona Beach, FL","
                    Verified Reviewer
                ","Original review: March 20, 2017","Last Monday 03-13 I called Uber for a ride from Pomona Ca. to Ontario Ca. Airport. I got a contact and it showed approx. $18 dollars. All of a sudden the page went blank. I called Uber again requesting Uber again and the charge came up as $38.00 and gave a name of the driver and he was less than 10 minutes away. So I am in the parking lot of the business with my luggage, when he drove in. I waved to let him know I was the one. I am sure he saw me he was within 50-75 ft. away. Without hesitation he did a hard 180 degrees and sped out of the parking lot and was gone, without a word. I was a bit aggravated, So I dialed up Uber again. To the same pickup and same delivery points.","11 people found this review helpful
            
        ",11 people,Rated with 1 star
"Remi of Decatur, GA","
                    Verified Reviewer
                ","Original review: March 19, 2017","I have been an avid Uber rider for quite a while. But recently, they've been in the business of disabling rider accounts for NO APPARENT REASON. I'm stranded in the freezing rain trying to request an Uber, and my account is disabled and they won't tell me why. They keep telling me it's for SECURITY reasons. Well I pay all of my fares so there's no reason for my account to be disabled. Today was the last straw. I requested a ride to work, which of course needed to be in a timely manner. The driver was initially around 5 minutes away. But 5 turned in to 10 minutes, which turned into 15 minutes. ","8 people found this review helpful
            
        ",8 people,Rated with 1 star
"Patricia of Brooklyn, NY","
                    Verified Reviewer
                ","Original review: March 17, 2017","The first time I used Uber, the driver rushed me (I had him waiting for 2 minutes at 4:30 am), didn't help me with luggage and was very rude. The next time, the opposite. So, it is a toss up, depending on the individual. I DID have a very bad taste in my mouth from the first experience.","2 people found this review helpful
            
        ",2 people,Rated with 3 stars
"Ragini of Singapore, Other","
                    Verified Reviewer
                ","Original review: March 17, 2017","I took uberPOOL and the rate came to 13.40 and used promo code for $5 discount. While alighting my driver said to pay 8.40. I paid cash and alighted. Again on 16.03.2017 I took and it showed 10.90 I confirmed pick up. While alighting driver asked 15.90. I said ""why"" he said I had $5 balance to pay to Uber. I didn't want to block the road and cause traffic jam so I settled. Strange! Do you even have credit facility for Uber trips. I didn't give my card details only cash payment. Then how they let me alight for less fare and charge it later. Discrepancy in fares and that too after 5 days charging. I wanted to refund the extra $5/ charged to me but Uber complaint firm asks for my card details when I am dealing in cash only. I would like Uber co to clarify why I was charged extra. Now my trip list also doesn't show those previous discrepancy.","2 people found this review helpful
            
        ",2 people,Rated with 1 star
"Denise of Portland, Oregon","
                    Verified Reviewer
                ","Original review: March 17, 2017",Used Uber while in Boston MA. Driver was excellent and knew his way around during peak driving time after work. We used Uber 3 times and always got to our destination on time.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Susan of Detroit, MI","
                    Verified Reviewer
                ","Original review: March 16, 2017",I took on a trust factor with Uber and I got ripped off and was left in cold and I suffered severe pain as well. The drivers are great but whoever is doing the money part they took too much. In return I had no way home. I kept telling them what they did. They kept showing me receipt when days before it was a lot lower.,"4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Jane of Riverbank, CA","
                    Verified Reviewer
                ","Original review: March 16, 2017","I have been a loyal customer of Uber. I cannot even get a hold of anyone. The drivers have been great. However their charging system is unprofessional and unreliable. I am going to have to report lost or stolen due to them. They do surcharges which flash so fast you don't even get a chance to see their charges. They also start charging you for rides that you do not even take or had even requested or even authorized. This is how they get your money and scam you. I wouldn't trust Uber unless it is a once in awhile type of thing, because when you are a continuous customer they drain your account and if you don't watch it closely you could be overdrawn with many fees. Luckily I watch mine. I am going to have to go to Lyft. Hopefully they are better.","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"D. G. of Plano, TX","
                    Verified Reviewer
                ","Original review: March 16, 2017","I have used Uber in Miami Beach, Rio de Janiero, and Costa Rica. It is fast and convenient to get a car to my location, and the fact that there is no guessing what the cost of the ride is going to be is simply excellent. What I really like the most is the fact that you know who your driver is going to be and what type of car he is driving.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Debra of Los Angeles, CA","
                    Verified Reviewer
                ","Original review: March 15, 2017","I requested a trip using UberPool. I have been using it daily to the same location. Today, when I received an Uber receipt, my daily charge of $2.99, was higher, $8.18. I used their app to dispute the charge, but receive a crazy response stating that I was charged correctly. They are liars and too lazy to even research the issues. Looking at the map on the app, the driver drove to my location, then continued on. No one else was in the car with me. He should have ended the call when I reached my location.","5 people found this review helpful
            
        ",5 people,Rated with 1 star
"Richard of Schertz, TX","
                    Verified Reviewer
                ","Original review: March 15, 2017",Uber has proven itself to be a reliable source of door-to-door service for when one does not have one's own mode of transportation.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 4 stars
"Linda of Norfolk, VA","
                    Verified Reviewer
                ","Original review: March 15, 2017",Excellent app. Doesn't beg for tips. Lets you rate driver's ambiance. Shows proximity of driver to your location. Allows 2 way communication with driver en route. Many drivers have a visible Uber sign to identify the vehicle. Have been transported to and from the hospital with crutches sometimes a walker and each has been super helpful and courteous.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"J. of Carlinville, IL","
                    Verified Reviewer
                ","Original review: March 14, 2017","We love Uber. We have never had to wait over three minutes for a ride. The cars are always clean, and every driver has been courteous and professional, and speaks audible English. We have yet to meet one that does not enjoy working for Uber.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Maria of Glendale, NY","
                    Verified Reviewer
                ","Original review: March 13, 2017","This morning I ordered a cab at 545 am on my app. My credit card was charged. The app said driver was 5 minutes away... It showed the car going further from my home. After 20 mins I called driver 2 times he did not pick up. I cancelled the car 5 mins later (total of 25 mins). I ordered a new cab on app that came in 5 mins... They charged me for ride and cancellation fee. I emailed them since there is no customer service number and they basically told me because I cancelled I'm being charged. They are crazy and basically called me a liar. Why would I order another cab if I was lying and they refuse to credit my card... So now I had to cancel my card. I will never ever, ever use their service again. They even put in my wrong address. They are crooks. Imagine how many people they get this way... It's disgusting.","6 people found this review helpful
            
        ",6 people,Rated with 1 star
"Rose of Staunton, VA","
                    Verified Reviewer
                ","Original review: March 13, 2017","I used Uber to go to a stressful dr's appointment and wish I would have driven myself if I could have. The vehicle was a mess, it smelled awful and the leather seats were sticky. (I was afraid to ask why.) It was a bad trip anyway because the place I was going is very traffic busy. The driver swerved in and out of traffic, and at least 10 miles over the speed limit. And very rude.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"AUGUST of Los Angeles, CA","
                    Verified Reviewer
                ","Original review: March 12, 2017","Figure out how risky it is that UBER can charge right into your credit card whatever they want after the fact!!! One day on the same route, I was charged 3 times as much as with other driver, some UBER driver intentionally took a longer route to get to my destination to charge me more, I did not know until after the trip when I check my emails by end of the day, it was too late and it was very hard to find a right subject to submit a complaint with UBER. Their customer service is horrible: they don't listen to your complaint, they are just using patterns of reply. I WILL NOT USE UBER AGAIN as I think some Uber drivers have a way to rob customers.","3 people found this review helpful
            
        ",3 people,Rated with 1 star
"Stephen of Highland, CA","
                    Verified Reviewer
                ","Original review: March 12, 2017",Uber tries very hard to give the rider a great rideshare experience. I have taken Uber many times and have met some wonderful drivers. Always on time. Car/SUV always clean.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Donald of New York, New York","
                    Verified Reviewer
                ","Original review: March 12, 2017","Uber is very convenient. However, unlike when it started, visually anyone can be a driver. Their ability to keep quality control is not working. Now more dirty uncomfortable cars, rude, arrogant, barely can speak English, CS a nightmare.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
"Jennifer of Alexandria, FL","
                    Verified Reviewer
                ","Original review: March 11, 2017",Uber has been a stellar solution for commuting in my home area of northern VA. Seems I've only had one issue and it was resolved within 24 hrs -- the driver did not use the shortest route possible. I was immediately refunded the difference. Each driver has been great in operation of the vehicle and demeanor. I've also used Uber in Washington and FL.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 5 stars
"Martin of Inglewood, CA","
                    Verified Reviewer
                ","Original review: March 9, 2017",I requested an Uber from LA to Pasadena which was quoted at an estimated $22.00. I was charged the full price and my $20 discount for getting Uber a new client through the use of my Referral Promo Code was removed from my account and not honored. I wasn't aware of this until I took my return trip home where I was charged about $5 dollars more. Once again my second $20 discount was removed from my account but was not honored. I was charged the full amount of the trip. ,"7 people found this review helpful
            
        ",7 people,Rated with 1 star
"Zilda of Hoboken, NJ","
                    Verified Reviewer
                ","Original review: March 9, 2017","Uber has been gradually allowing drivers with poor reviews to work for them. I have had safety issues and even a driver who was clearly under the influence, among other safety issues Re: Uber drivers. When I've canceled a ride due to low review scoring by other passengers, they have charged me cancellation fees and refused to refund me the $2. This happened three times in a row where I cancelled those trips within less than 24 hours.","4 people found this review helpful
            
        ",4 people,Rated with 1 star
"Priya of Bangalore, Other",,"Original review: March 9, 2017",I had 3 free rides. I have booked a Uber ride From Ramakrishna Ashram Bangalore to Jaynagar 4th Block Bangalore. I paid 500 Rs even though the distance is less. The distance was around 6-7km. But I paid 500 which is really not fair. I'm very upset with the Uber Service. Please clarify My Query. I will be waiting for your kind reply.,"
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 1 star
"Gail of Lampasas, Texas","
                    Verified Reviewer
                ","Original review: March 9, 2017","Uber is great for the rider, they get quick service. Poor pay for the drivers due to a flooded market. No concern given to the fact that if you hire too many drivers there will not be enough riders to make the trips worth your time in fuel.","
            
                
                    Be the first one to find this review helpful
                
            
        ",,Rated with 3 stars
